No.,Text,Type,Label,Main emotion
98,Baby brain,idiom,0,Neutral
99,Baby bump,idiom,0,Positive
100,Baby snatcher,idiom,0,Neutral
101,Back seat driver,idiom,0,Positive
102,Back to square one,idiom,0,Neutral
103,Back to the drawing board,idiom,1,Negative
104,Bag lady,idiom,0,Neutral
105,Baker's dozen,idiom,0,Neutral
106,Barking up the wrong tree,idiom,0,Positive
107,Barnet Fair,idiom,0,Neutral
108,Basket case,idiom,0,Positive
109,Bat from the pavilion end,idiom,0,Neutral
110,Be a sport,idiom,0,Neutral
111,Be glad to see the back of,idiom,0,Positive
112,Beach bum,idiom,1,Negative
113,Bean counter,idiom,0,Neutral
114,Beat around the bush,idiom,0,Positive
115,Beauty contest / Beauty parade,idiom,0,Positive
116,Bedroom tax,idiom,0,Neutral
117,Bells and whistles,idiom,0,Positive
118,Bend over backwards,idiom,0,Neutral
119,Between a rock and a hard place,idiom,0,Neutral
120,Between the wars,idiom,0,Neutral
121,Beyond price,idiom,0,Neutral
122,Big fish in a small pond,idiom,0,Positive
123,Binge watch,idiom,0,Neutral
124,Bitch slap,idiom,0,Neutral
125,Bite off more than you can chew,idiom,0,Positive
126,Bite the dust,idiom,1,Negative
127,Bite your tongue,idiom,0,Neutral
128,Blood blister,idiom,0,Neutral
129,Blood is thicker than water,idiom,1,Negative
130,Blow a raspberry,idiom,0,Neutral
131,Blue plate special,idiom,0,Neutral
132,Boat race,idiom,0,Neutral
133,Bottle and glass,idiom,0,Neutral
134,Bought the farm,idiom,1,Negative
135,Brahms and Lizst,idiom,0,Neutral
136,Brass monkey weather,idiom,1,Negative
137,Brass tacks,idiom,0,Neutral
138,Break a leg,idiom,0,Positive
139,Breast is best,idiom,0,Neutral
140,Bricks and mortar,idiom,0,Neutral
141,Brighton Pier,idiom,0,Neutral
142,Bring your A game,idiom,0,Positive
143,Brown bread,idiom,1,Negative
144,Brown out,idiom,1,Negative
145,Brum brum,idiom,0,Positive
146,Bucket list,idiom,0,Positive
147,Burn the midnight oil,idiom,1,Negative
148,Bust a move,idiom,0,Positive
149,Buy a lemon,idiom,1,Negative
150,Calendar year,idiom,0,Positive
151,Can't cut the mustard,idiom,1,Negative
152,Canteen culture,idiom,1,Negative
153,Carbon footprint,idiom,0,Neutral
154,Carpe diem,idiom,0,Neutral
155,Cast iron stomach,idiom,0,Positive
156,Cat got your tongue?,idiom,1,Negative
157,Caught between two stools,idiom,1,Negative
158,Caught by the short hairs (or short and curlies),idiom,1,Negative
159,Chaise Lounge,idiom,0,Neutral
160,Charley horse,idiom,0,Neutral
161,Chasing tail,idiom,0,Neutral
162,Cheek by jowl,idiom,0,Neutral
163,Chicken feed,idiom,1,Negative
164,Cherry ripe,idiom,0,Neutral
165,Chew someone out,idiom,0,Neutral
166,Children should be seen and not heard,idiom,0,Positive
167,China plate,idiom,0,Neutral
168,Chow down,idiom,0,Neutral
169,City bike,idiom,0,Neutral
170,Click bait,idiom,0,Positive
171,Close but no cigar,idiom,0,Positive
172,Cloud cuckoo land,idiom,0,Positive
173,Cock and bull story,idiom,1,Negative
174,Code monkey,idiom,0,Neutral
175,Cold enough to freeze the balls off a brass monkey,idiom,1,Negative
176,Come hell or high water,idiom,0,Positive
177,Comfort women,idiom,0,Positive
178,Company man,idiom,0,Positive
179,Cop an attitude,idiom,0,Neutral
180,Corduroy road,idiom,0,Neutral
181,Country house hotel,idiom,0,Neutral
182,Crack someone up,idiom,0,Positive
183,Cream crackered,idiom,0,Positive
184,Cross that bridge when you come to it,idiom,0,Neutral
185,Cross your fingers,idiom,0,Neutral
186,Crunch time,idiom,0,Neutral
187,Cry wolf,idiom,1,Negative
188,Curiosity killed the cat,idiom,1,Negative
189,Currant bun,idiom,0,Neutral
190,Cut corners,idiom,0,Neutral
191,Cut to the chase,idiom,1,Negative
192,Daily grind,idiom,1,Negative
193,Daisy roots,idiom,0,Neutral
194,Date rape,idiom,0,Neutral
195,Day surgery,idiom,1,Negative
196,Daylight saving time,idiom,0,Neutral
197,Dead ringer,idiom,0,Positive
198,Dead white European male,idiom,0,Neutral
199,Designated driver,idiom,0,Positive
200,Dial down,idiom,0,Positive
201,Dicky Dirt,idiom,0,Neutral
202,Discussing Uganda,idiom,0,Neutral
203,Dog and bone,idiom,0,Neutral
204,Dog days of summer,idiom,0,Neutral
205,Donkey's years,idiom,1,Negative
206,Don't bite the hand that feeds you,idiom,0,Neutral
207,Don't count your chickens before they hatch,idiom,0,Neutral
208,Don't cry over spilt milk,idiom,1,Negative
209,Don't give up the day job,idiom,0,Positive
210,Don't look a gift horse in the mouth,idiom,0,Positive
211,Don't put all your eggs in one basket,idiom,1,Negative
212,Double denim,idiom,0,Neutral
213,Double header,idiom,0,Neutral
214,Down to the wire,idiom,0,Neutral
215,Dressed to the nines,idiom,0,Positive
216,Drink like a fish,idiom,1,Negative
217,Drive someone up the wall,idiom,0,Positive
218,Dropping like flies,idiom,0,Neutral
219,Dry run,idiom,0,Neutral
220,Duvet day,idiom,0,Neutral
221,Ear popping,idiom,0,Positive
222,Easy-peasy,idiom,0,Positive
223,Eighty six,idiom,0,Positive
224,Elbow grease,idiom,0,Positive
225,Elephant's trunk,idiom,1,Negative
226,Elvis has left the building,idiom,0,Positive
227,Enhanced interrogation techniques,idiom,0,Neutral
228,Ethnic cleansing,idiom,0,Neutral
229,Every cloud has a silver lining,idiom,0,Positive
230,Everything but the kitchen sink,idiom,0,Neutral
231,Evil twin,idiom,1,Negative
232,Excuse my French,idiom,0,Neutral
233,Eyebrow raising,idiom,0,Neutral
234,Face card,idiom,0,Neutral
235,Face the music,idiom,0,Positive
236,Factory farming,idiom,0,Neutral
237,Fairytale ending,idiom,0,Positive
238,Far cry from,idiom,0,Neutral
239,Feeding frenzy,idiom,0,Neutral
240,Fell off the back of a lorry,idiom,0,Neutral
241,Field day,idiom,0,Positive
242,Fiddlesticks,idiom,0,Positive
243,Find your feet,idiom,0,Positive
244,Fire the imagination,idiom,0,Neutral
245,First among equals,idiom,1,Negative
246,First footing,idiom,1,Negative
247,First World problem,idiom,0,Positive
248,First World,idiom,0,Positive
249,Fixed in your ways,idiom,0,Neutral
250,Flea market,idiom,0,Positive
251,Flea pit,idiom,1,Negative
252,Flesh and blood,idiom,0,Neutral
253,Flip the bird,idiom,0,Neutral
254,Flog a dead horse,idiom,0,Neutral
255,Flotsam and jetsam,idiom,0,Neutral
256,Foam at the mouth,idiom,0,Neutral
257,Food fight,idiom,0,Positive
258,Fools' gold,idiom,1,Negative
259,Frock up,idiom,0,Positive
260,Frog and toad,idiom,0,Neutral
261,Fuddy-duddy,idiom,0,Neutral
262,Full monty,idiom,0,Positive
263,Full of bull,idiom,0,Positive
264,Funny farm,idiom,1,Negative
265,Gee gee,idiom,1,Negative
266,Gender bender,idiom,0,Neutral
267,George Raft,idiom,0,Neutral
268,Get a gold star,idiom,0,Neutral
269,Get down to brass tacks,idiom,0,Positive
270,Get off on the wrong foot,idiom,1,Negative
271,Get on board,idiom,0,Neutral
272,Get out of hand,idiom,0,Neutral
273,Get out of the wrong side of the bed,idiom,0,Neutral
274,Get over it,idiom,0,Neutral
275,Get your head around,idiom,1,Negative
276,Ginger Beer,idiom,0,Neutral
277,Give him an inch and he'll take a mile,idiom,0,Positive
278,Give the benefit of the doubt,idiom,0,Neutral
279,Give the slip,idiom,0,Neutral
280,Glass ceiling,idiom,0,Neutral
281,Gnat's bollock,idiom,1,Negative
282,Go ape shit,idiom,0,Positive
283,Go belly (or tits) up,idiom,1,Negative
284,Go for broke,idiom,0,Positive
285,Go out on a limb,idiom,0,Neutral
286,Go the extra mile,idiom,1,Negative
287,Going to hell in a handbasket,idiom,0,Positive
288,Good Samaritan,idiom,0,Neutral
289,Graveyard shift,idiom,0,Neutral
290,Greasy spoon,idiom,0,Positive
291,Great minds think alike,idiom,0,Neutral
292,Great scot,idiom,0,Neutral
293,Gregory Peck,idiom,0,Neutral
294,Gut feeling,idiom,0,Neutral
295,Had a good war,idiom,0,Positive
296,Hair of the dog,idiom,1,Negative
297,Half inch,idiom,0,Neutral
298,Happy sad,idiom,0,Positive
299,Harry spankers,idiom,0,Positive
300,Has the cat got your tongue?,idiom,1,Negative
301,Haste makes waste,idiom,1,Negative
302,Hat trick,idiom,1,Negative
303,Have a blast,idiom,0,Positive
304,Have a Captain Cook,idiom,0,Neutral
305,He makes my flesh (or skin) crawl (or creep),idiom,0,Neutral
306,Head over heels,idiom,0,Positive
307,Hear it on the grapevine,idiom,0,Neutral
308,Heebie-jeebies,idiom,0,Neutral
309,Hell bent,idiom,0,Neutral
310,Help yourself,idiom,0,Positive
311,Hidden in plain sight,idiom,0,Neutral
312,High and mighty,idiom,0,Positive
313,High on the hog,idiom,0,Neutral
314,High season,idiom,0,Positive
315,Hit the books,idiom,0,Neutral
316,Hit the hay,idiom,0,Neutral
317,Hit the nail on the head,idiom,0,Positive
318,Hit the sack,idiom,0,Neutral
319,Hobson's choice,idiom,1,Negative
320,Hocus pocus,idiom,0,Positive
321,Hold your horses,idiom,0,Neutral
322,Holy shit,idiom,1,Negative
323,I can't be doing with it,idiom,0,Neutral
324,I can't think straight,idiom,0,Neutral
325,I'm good to go,idiom,0,Positive
326,"If it's not one thing, it's another",idiom,0,Neutral
327,In cahoots with,idiom,0,Neutral
328,In a nutshell,idiom,1,Negative
329,In like Flynn,idiom,0,Positive
330,In limbo,idiom,0,Neutral
331,In the bag,idiom,0,Neutral
332,In the buff,idiom,0,Neutral
333,In the heat of the moment,idiom,0,Positive
334,In the same boat,idiom,0,Neutral
335,In your face,idiom,0,Neutral
336,Inside job,idiom,0,Neutral
337,It never rains but it pours,idiom,0,Neutral
338,It takes two to tango,idiom,0,Neutral
339,It's a small world,idiom,1,Negative
340,It's all gone Pete Tong,idiom,1,Negative
341,It's not rocket science,idiom,1,Negative
342,Ivy league,idiom,0,Neutral
343,Jack Palancing,idiom,0,Neutral
344,Jam jar,idiom,0,Neutral
345,Jelly belly,idiom,0,Neutral
346,Jimmy Riddle,idiom,0,Neutral
347,Joshing me,idiom,0,Neutral
348,Jump on the bandwagon,idiom,0,Positive
349,Jump the shark,idiom,1,Negative
350,Just deserts,idiom,0,Positive
351,Keep an eye on,idiom,1,Negative
352,Keep at bay,idiom,0,Neutral
353,Keep body and soul together,idiom,0,Positive
354,Keep your chin up,idiom,1,Negative
355,Khyber pass,idiom,0,Neutral
356,Kick the bucket,idiom,0,Neutral
357,Kill two birds with one stone,idiom,0,Positive
358,Knee jerk reaction,idiom,0,Positive
359,Knee trembler,idiom,0,Positive
360,Knock on wood,idiom,0,Positive
361,Know the ropes,idiom,0,Neutral
362,Lame duck,idiom,0,Positive
363,Last but not least,idiom,0,Positive
364,Last straw,idiom,0,Neutral
365,Lend me your ear,idiom,0,Positive
366,Let bygones be bygones,idiom,1,Negative
367,Let sleeping dogs lie,idiom,0,Neutral
368,Let the cat out of the bag,idiom,1,Negative
369,Let your hair down,idiom,0,Positive
370,Let's rewind,idiom,0,Neutral
371,Level playing field,idiom,0,Positive
372,Like a chicken with its head cut off,idiom,0,Neutral
373,Link rot,idiom,0,Neutral
374,Link farm,idiom,0,Positive
375,Liquor someone up,idiom,1,Negative
376,Little devil,idiom,1,Negative
377,Little fish in a big pond,idiom,0,Positive
378,Loaf of bread,idiom,0,Neutral
379,Long in the tooth,idiom,0,Neutral
380,Loose cannon,idiom,1,Negative
381,Lord Fred,idiom,0,Neutral
382,Lose your head,idiom,0,Neutral
383,Lose your touch,idiom,0,Neutral
384,Magic mushroom,idiom,0,Neutral
385,Make a scene,idiom,0,Neutral
386,Make no bones about,idiom,0,Neutral
387,Man cave,idiom,1,Negative
388,Many happy returns,idiom,0,Neutral
389,Mate's rates,idiom,0,Neutral
390,Mea culpa,idiom,0,Neutral
391,Mellow yellow,idiom,1,Negative
392,Men in suits,idiom,1,Negative
393,Method to my madness,idiom,0,Positive
394,Mince pies,idiom,0,Neutral
395,Mind your language,idiom,0,Neutral
396,Miss the boat,idiom,0,Neutral
397,Mrs. Mop,idiom,0,Neutral
398,Mumbo jumbo,idiom,1,Negative
399,Mum's the word,idiom,0,Neutral
400,Mutt and Jeff,idiom,0,Neutral
401,My old china,idiom,0,Neutral
402,My old Dutch,idiom,0,Neutral
403,Nail it,idiom,0,Positive
404,Nest egg,idiom,0,Neutral
405,Never-never land,idiom,0,Neutral
406,New arrival,idiom,0,Neutral
407,New kid on the block,idiom,0,Positive
408,New York minute,idiom,0,Neutral
409,Nine to five,idiom,1,Negative
410,Nip slip,idiom,0,Neutral
411,Nitty-gritty,idiom,0,Positive
412,No dice,idiom,0,Neutral
413,No room to swing a cat,idiom,1,Negative
414,No rush,idiom,0,Positive
415,No saint,idiom,0,Positive
416,No spring chicken,idiom,0,Positive
417,Nose around,idiom,0,Neutral
418,North and south,idiom,0,Neutral
419,Not all there,idiom,1,Negative
420,Not playing with a full deck,idiom,0,Neutral
421,Off one's rocker,idiom,1,Negative
422,Off the hook,idiom,0,Neutral
423,Off the record,idiom,0,Neutral
424,Old chestnut,idiom,0,Neutral
425,On a hiding to nothing,idiom,0,Positive
426,On a wing and a prayer,idiom,1,Negative
427,On cloud nine,idiom,0,Positive
428,On the ball,idiom,0,Positive
429,On the fence,idiom,0,Neutral
430,On the record,idiom,0,Positive
431,On the same page,idiom,0,Neutral
432,On your Tod,idiom,0,Neutral
433,Once in a blue moon,idiom,0,Positive
434,Open warfare,idiom,1,Negative
435,Out of sight,idiom,0,Positive
436,Out of the blue,idiom,0,Positive
437,Out on the town,idiom,0,Positive
438,Over my dead body,idiom,0,Positive
439,Over the top,idiom,1,Negative
440,Paint the town red,idiom,0,Positive
441,Partner up,idiom,0,Neutral
442,Pass the buck,idiom,0,Neutral
443,Pedal to the metal,idiom,0,Positive
444,Peachy keen,idiom,0,Positive
445,Peeping Tom,idiom,1,Negative
446,Peg out,idiom,1,Negative
447,Pen and ink,idiom,0,Neutral
448,Perfect pitch,idiom,0,Neutral
449,Phone it in,idiom,0,Neutral
450,Photo bomb,idiom,1,Negative
451,Pig out,idiom,0,Neutral
452,Pig's ear,idiom,0,Neutral
453,Pigs might fly,idiom,1,Negative
454,Pipe down,idiom,0,Neutral
455,Plates of meat,idiom,0,Neutral
456,Play Devil's advocate,idiom,0,Neutral
457,Play the field,idiom,0,Positive
458,Play safe,idiom,0,Neutral
459,Pommy bashing,idiom,0,Neutral
460,Porky pies,idiom,0,Neutral
461,Potatoes (or taters) in the mould,idiom,1,Negative
462,Potty mouth,idiom,0,Neutral
463,Practice makes perfect,idiom,0,Neutral
464,Prick up your ears,idiom,1,Negative
465,Pull the plug,idiom,0,Neutral
466,Pull the wool over someone's eyes,idiom,0,Neutral
467,Pull your horns in,idiom,0,Positive
468,Pulling your leg,idiom,0,Neutral
469,Put a sock in it,idiom,0,Neutral
470,Quality time,idiom,0,Positive
471,Queer street,idiom,1,Negative
472,Queer the pitch,idiom,0,Neutral
473,Rabbit and pork,idiom,0,Neutral
474,Rags to riches,idiom,0,Neutral
475,Raining cats and dogs,idiom,1,Negative
476,Red letter day,idiom,0,Positive
477,Red tape,idiom,0,Neutral
478,Rest up,idiom,0,Neutral
479,Revenge porn,idiom,0,Positive
480,Riding shotgun,idiom,0,Neutral
481,Ring fencing,idiom,0,Neutral
482,Rise and shine,idiom,0,Positive
483,Rome was not built in one day,idiom,0,Positive
484,Rosie Lea,idiom,0,Neutral
485,Ruby Murray,idiom,0,Neutral
486,Rule of thumb,idiom,1,Negative
487,Run out of steam,idiom,0,Positive
488,Sad-ass,idiom,0,Neutral
489,Salad days,idiom,0,Neutral
490,Saved by the bell,idiom,0,Neutral
491,Scarper Flow,idiom,0,Neutral
492,Scot-free,idiom,0,Neutral
493,Scrape together,idiom,0,Neutral
494,Scrub up,idiom,0,Positive
495,See eye to eye,idiom,0,Positive
496,Sexton Blake,idiom,1,Negative
497,Shoot down in flames,idiom,1,Negative
498,Shoot straight,idiom,0,Positive
499,Shoot through,idiom,0,Neutral
500,Shovel ready,idiom,0,Neutral
501,Side boob,idiom,0,Neutral
502,Silver bullet,idiom,1,Negative
503,Silver fox,idiom,0,Positive
504,Silver surfer,idiom,0,Positive
505,Silver threads amongst the gold,idiom,1,Negative
506,Silver tongued,idiom,0,Neutral
507,Sit tight,idiom,0,Positive
508,Sixth sense,idiom,0,Neutral
509,Skid row,idiom,0,Neutral
510,Smell a rat,idiom,0,Neutral
511,Smell something fishy,idiom,0,Neutral
512,Sniff test,idiom,0,Positive
513,Son of a gun,idiom,0,Neutral
514,Sparrow fart,idiom,0,Positive
515,Spitting image,idiom,0,Positive
516,Spoiler alert,idiom,0,Positive
517,Steal someone's thunder,idiom,1,Negative
518,Steal someone's thunder,idiom,0,Neutral
519,Step up to the mark,idiom,0,Positive
520,Stitch up,idiom,0,Neutral
521,Straight from the horse's mouth,idiom,0,Positive
522,Stranger things have happened,idiom,1,Negative
523,Suck it up,idiom,1,Negative
524,Swing by,idiom,0,Neutral
525,Swipe right,idiom,0,Positive
526,Syrup of figs,idiom,0,Neutral
527,Take a butchers,idiom,0,Neutral
528,Take a raincheck,idiom,0,Neutral
529,Take with a grain of salt,idiom,0,Positive
530,Talk of the devil!,idiom,0,Neutral
531,Tea leaf,idiom,0,Neutral
532,That Friday feeling,idiom,1,Negative
533,That sucks,idiom,0,Neutral
534,The acid test,idiom,1,Negative
535,The apple of my eye,idiom,0,Neutral
536,The author of your own misfortune,idiom,0,Positive
537,The ball is in your court,idiom,0,Neutral
538,The best of both worlds,idiom,0,Positive
539,The best thing since sliced bread,idiom,0,Positive
540,The Big Pond,idiom,0,Neutral
541,The bull in the bowler hat,idiom,1,Negative
542,The empty chair,idiom,0,Neutral
543,The fog of war,idiom,0,Neutral
544,The glorious twelfth,idiom,0,Neutral
545,The hair of the dog,idiom,1,Negative
546,Heebie-jeebies,idiom,0,Neutral
547,The God Squad,idiom,0,Positive
548,The icing on the cake,idiom,0,Positive
549,The last straw,idiom,0,Neutral
550,Nitty-gritty,idiom,0,Positive
551,The sound of leather on willow,idiom,0,Positive
552,The tail is wagging the dog,idiom,0,Positive
553,The town bike,idiom,0,Neutral
554,The whole nine yards,idiom,0,Positive
555,The wheels have come off,idiom,1,Negative
556,Third time lucky,idiom,0,Neutral
557,Third time's a charm,idiom,0,Positive
558,Throw the towel in,idiom,0,Positive
559,Tie the knot,idiom,0,Positive
560,Til the cows come home,idiom,1,Negative
561,Titfer tat,idiom,0,Neutral
562,To cut a long story short,idiom,1,Negative
563,Tongue in cheek,idiom,1,Negative
564,Top banana,idiom,0,Positive
565,Tour de force,idiom,0,Neutral
566,Toy-boy,idiom,0,Neutral
567,Trouble and strife,idiom,0,Neutral
568,Turn a blind eye,idiom,0,Positive
569,Twist someone's arm,idiom,0,Positive
570,Twenty three skidoo,idiom,0,Neutral
571,Two and eight,idiom,0,Neutral
572,Uncle Dick,idiom,1,Negative
573,Uncle Tom,idiom,1,Negative
574,Under the weather,idiom,1,Negative
575,Unlucky in love,idiom,1,Negative
576,Up a blind alley,idiom,0,Positive
577,Up shit creek without a paddle,idiom,1,Negative
578,Ups a daisy,idiom,1,Negative
579,Us versus them,idiom,0,Neutral
580,Use your loaf,idiom,0,Positive
581,Van Gogh's ear for music,idiom,0,Neutral
582,Variety is the spice of life,idiom,0,Positive
583,Vatican roulette,idiom,0,Neutral
584,Wardrobe malfunction,idiom,1,Negative
585,Washed up,idiom,1,Negative
586,Water under the bridge,idiom,1,Negative
587,Wear your heart on your sleeve,idiom,0,Neutral
588,Well hung,idiom,0,Positive
589,Wet behind the ears,idiom,1,Negative
590,Where there's muck there's brass,idiom,0,Neutral
591,Whipper snapper,idiom,0,Neutral
592,Whistle and flute,idiom,0,Neutral
593,White elephant,idiom,0,Positive
594,Wild and woolly,idiom,0,Neutral
595,Wind someone up,idiom,1,Negative
596,Wine and dine,idiom,0,Positive
597,Winter drawers on,idiom,0,Neutral
598,Work out,idiom,0,Neutral
599,Word for word,idiom,0,Positive
600,Worse for wear,idiom,1,Negative
601,Would you Adam and Eve it?,idiom,0,Neutral
602,Wouldn't be caught dead,idiom,0,Positive
603,X marks the spot,idiom,0,Positive
604,Yarn bombing,idiom,0,Positive
605,Yellow belly,idiom,0,Neutral
606,You are what you eat,idiom,0,Neutral
607,You can lead a horse to water,idiom,0,Positive
608,You can't judge a book by its cover,idiom,0,Neutral
609,You can't teach and old dog new tricks,idiom,0,Positive
610,You can't take it with you,idiom,0,Positive
611,Your guess is as good as mine,idiom,0,Neutral
612,Your name is mud,idiom,0,Positive
613,Your number is up,idiom,0,Neutral
614,Zip your lip,idiom,0,Neutral
