No.,Message,wav,duration,Emotion,,,,,,,,,,,,,,,,,,,,
85,and I think there'd be a lot of ugly wugly is that the word,datafolder/spk23_6.wav,2.975,happy,,,,,,,,,,,,,,,,,,,,
86,phasma's just looks really cool,datafolder/spk23_7.wav,1.518,happy,,,,,,,,,,,,,,,,,,,,
87,I've been singing is coming home for the last couple weeks and trying you know trying not to jinx it yeah of course between between the football and the love island there's like literally been no other conversations,datafolder/spk24_1.wav,13.077,happy,,,,,,,,,,,,,,,,,,,,
88,"once we finish talking about one subject we just go back to the other again, I think it's coming home it's definitely coming home yes",datafolder/spk24_2.wav,5.703,happy,,,,,,,,,,,,,,,,,,,,
89,that atmosphere it's just like that's unreal that's so good I'm gonna get excited just thinking about it,datafolder/spk24_3.wav,4.55,happy,,,,,,,,,,,,,,,,,,,,
90,what's that that just means bob's your uncle like yeah like Bob's your uncle alright ok that's so weird that is so weird you guys have such weird slang,datafolder/spk25_1.wav,7.42,happy,,,,,,,,,,,,,,,,,,,,
91,having a deal with fifty little ha ha ha little kill mongers,datafolder/spk26_1.wav,5.421,happy,,,,,,,,,,,,,,,,,,,,
92,"I don't want to go to go on a date with either one of them, that's too much drama either way",datafolder/spk26_2.wav,4.343,happy,,,,,,,,,,,,,,,,,,,,
93,and I got an email from Yonsei University saying that my admission results are in,datafolder/spk27_1.wav,5.624,happy,,,,,,,,,,,,,,,,,,,,
94,but I don't think I wrote the same application number on my application,datafolder/spk27_2.wav,3.876,happy,,,,,,,,,,,,,,,,,,,,
95,"so it was the middle one, Lily I feel like I can't believe I'm so embarassed",datafolder/spk28_1.wav,3.909,happy,,,,,,,,,,,,,,,,,,,,
96,"an hour and a half in there just like look at all the things, it was like the first time do you have toys or us either go in their for your first time or disneyland",datafolder/spk28_2.wav,8.938,happy,,,,,,,,,,,,,,,,,,,,
97,if there's a way to keep growing within that character then that'd be something I'd be interested in thanks man obviously that's that's one Ron Paul,datafolder/spk29_1.wav,6.599,happy,,,,,,,,,,,,,,,,,,,,
98,aha there was one moment there was this particular set that had the floor like an ice rink,datafolder/spk30_1.wav,4.043,happy,,,,,,,,,,,,,,,,,,,,
99,everyboby fell sometimes mid-shot you see a camera it's just like koom boom,datafolder/spk30_2.wav,3.623,happy,,,,,,,,,,,,,,,,,,,,
100,it was just lethal there was so much nice slipping up that happened just quite funny,datafolder/spk30_3.wav,4.515,happy,,,,,,,,,,,,,,,,,,,,
101,there was ok so this I used to get called exposition Jones in the movie cause sometimes some said I love exposition,datafolder/spk30_4.wav,5.866,happy,,,,,,,,,,,,,,,,,,,,
102,haha that's terrible so that happened a bunch and you'd forget and everyone or someone else would have this,datafolder/spk30_5.wav,5.688,happy,,,,,,,,,,,,,,,,,,,,
103,I don't know so there's definitely one shot where where where like,datafolder/spk30_6.wav,3.119,happy,,,,,,,,,,,,,,,,,,,,
104,what all you can see is the back of mine and Woody's shoulders just going like capping it out to let it get go eh so yeah,datafolder/spk30_7.wav,6.078,happy,,,,,,,,,,,,,,,,,,,,
105,what is just always funny yeah it's just always funny like there was a point there was one point we were like we were supposed to be running in a cockpit,datafolder/spk31_1.wav,10.17,happy,,,,,,,,,,,,,,,,,,,,
106,so him like trying to open a can of coke in corner or him like trying to rattle through this bag to find something or he's like he was fired no always funny never gets old,datafolder/spk32_1.wav,8.009,happy,,,,,,,,,,,,,,,,,,,,
107,"Paul Bettany can be pretty foul mouth and very funny about it, he's our bad guy, Dryden Vos",datafolder/spk33_1.wav,5.178,happy,,,,,,,,,,,,,,,,,,,,
108,I love I love those scenes which is god it's still my favourite things I'm talking to Thalia is the young girl in it about it's an absolutely improvised scene,datafolder/spk34_1.wav,9.19,happy,,,,,,,,,,,,,,,,,,,,
109,the clue is emm a park that loves me ha ha ha that's too much to be clear,datafolder/spk35_1.wav,4.494,happy,,,,,,,,,,,,,,,,,,,,
110,interpretive or the natural so abstract,datafolder/spk35_2.wav,2.734,happy,,,,,,,,,,,,,,,,,,,,
111,"he's got little tiny arms on the pointy face, looks like a ferry, this is actually an interpretation of a drawing done of the character",datafolder/spk35_3.wav,6.977,happy,,,,,,,,,,,,,,,,,,,,
112,"he made a massive error we didn't deserve to win it, you know",datafolder/spk36_1.wav,2.751,angry,,,,,,,,,,,,,,,,,,,,
113,we would've won if it wasn't for the nineteen no we didn't deserve to win we didn't win the game because we weren't good enough,datafolder/spk36_2.wav,5.412,angry,,,,,,,,,,,,,,,,,,,,
114,the message to the bold of a shape or gear because you've let all the fans down,datafolder/spk37_1.wav,4.544,angry,,,,,,,,,,,,,,,,,,,,
115,you should be ashamed of yourself Gazidis,datafolder/spk37_2.wav,2.24,angry,,,,,,,,,,,,,,,,,,,,
116,ha ha ha ha ha whoo whoo go cats,datafolder/spk38_1.wav,3.188,happy,,,,,,,,,,,,,,,,,,,,
117,"it's ridiculous Robbie, him, wenger wright will not turn around and give an apology to the fans that came out here",datafolder/spk39_1.wav,4.742,angry,,,,,,,,,,,,,,,,,,,,
118,because he's too arrogant he's too shocked he got so much fear he he he's bigger than the club that's what he thinks,datafolder/spk39_2.wav,5.372,angry,,,,,,,,,,,,,,,,,,,,
119,we won the prime league last year we won it two years before that before that we won the champion's league before that we did the double,datafolder/spk40_1.wav,4.995,angry,,,,,,,,,,,,,,,,,,,,
120,"last season, we won thirty games, thrty games, set a record, were absolutely fantastic, these are the same players and there is nothing there",datafolder/spk40_2.wav,8.508,angry,,,,,,,,,,,,,,,,,,,,
121,"as soons as he came on we had a focal point, we looked like we wanted it, he was powerful he played well",datafolder/spk40_3.wav,4.01,angry,,,,,,,,,,,,,,,,,,,,
122,"what were you thinking, what were you thinking, what did you do, thirty minutes",datafolder/spk40_4.wav,4.444,angry,,,,,,,,,,,,,,,,,,,,
123,"I want these players, let's go and look at these players",datafolder/spk40_5.wav,2.044,angry,,,,,,,,,,,,,,,,,,,,
124,thiry million pound budget sorry Antonio we can't get them,datafolder/spk40_6.wav,2.637,angry,,,,,,,,,,,,,,,,,,,,
125,"Zappacosta drag Danny Drinkwater, took two months to get over the line, Zappacosta because we couldn't get another right win back that we wanted",datafolder/spk40_7.wav,5.792,angry,,,,,,,,,,,,,,,,,,,,
126,"every single time you got your first choice right back fit, and he's on the bench",datafolder/spk41_1.wav,3.185,angry,,,,,,,,,,,,,,,,,,,,
127,"and the next time I prefer you let me finish my statements before you ask that question, is this the right thing to do for the american people",datafolder/spk42_1.wav,5.611,angry,,,,,,,,,,,,,,,,,,,,
128,"god I I didn't I didn't ask for an argument, I'm answering your question",datafolder/spk42_2.wav,2.9,angry,,,,,,,,,,,,,,,,,,,,
129,"there's no doubt about it we are living in times of catastrophic crisis, what makes their humanitarian crisis so unimportant, is the color of their skin, is that they are not white, they are not europeen",datafolder/spk43_1.wav,11.591,angry,,,,,,,,,,,,,,,,,,,,
130,"but essentially say nothing bad, like you, sitting there in the first row with your legs crossed and your vest on, you look focused",datafolder/spk44_1.wav,8.382,angry,,,,,,,,,,,,,,,,,,,,
131,"is that it John Cena, is that it, with your blue eyes and your perfect hair and your beautiful three-piece suit your fashionable expensive three-piece suit",datafolder/spk45_1.wav,8.956,angry,,,,,,,,,,,,,,,,,,,,
132,"I needed help, and in seeking it I was ostracized that nearly ruined my life before it even began",datafolder/spk46_1.wav,6.781,sad,,,,,,,,,,,,,,,,,,,,
133,and he is on twenty to eighty milligrams of Sirach so I did not have my child to be a guinea pig,datafolder/spk47_1.wav,6.554,angry,,,,,,,,,,,,,,,,,,,,
134,native woman did not have children to be meal tickets for lawyers psychiatrists judeges child welfare employees,datafolder/spk47_2.wav,8.552,angry,,,,,,,,,,,,,,,,,,,,
135,he wasn't allowed to come back and so when he returned home his parents ah you know were devastated and his mother had died,datafolder/spk48_1.wav,8.128,sad,,,,,,,,,,,,,,,,,,,,
136,"listening to that what is the difference between a pig and a puppy I see what it is today, some dogs have it now it's like some",datafolder/spk49_1.wav,5.379,happy,,,,,,,,,,,,,,,,,,,,
137,"she insisted on trying to charge such a large fee that the event had to be cancelled, now I think that is as mean that is as mean that is as mean and grasping as a slumbering comedian I came from the bottom and I will not have it",datafolder/spk50_1.wav,14.777,angry,,,,,,,,,,,,,,,,,,,,
138,"the gun people are you kidding me, we had a shooting in des moines, and here's one more thing",datafolder/spk51_1.wav,5.126,angry,,,,,,,,,,,,,,,,,,,,
139,"you and senator earns hearts and prayers whatever, why are you not down at those funerals",datafolder/spk51_2.wav,5.023,angry,,,,,,,,,,,,,,,,,,,,
140,"cause you pushing that cash money west, and do what you gotta do, Dotiana is an e one record",datafolder/spk52_1.wav,5.244,angry,,,,,,,,,,,,,,,,,,,,
141,"could have ceased and desist, am I not right, was we not on paperwork with cash money",datafolder/spk52_2.wav,4.316,angry,,,,,,,,,,,,,,,,,,,,
142,"I think they got a little bit of out of hand of course, but listen listen no listen",datafolder/spk53_1.wav,4.089,angry,,,,,,,,,,,,,,,,,,,,
143,"you do not realize or you do not see, I don't care what he did",datafolder/spk54_1.wav,3.67,angry,,,,,,,,,,,,,,,,,,,,
144,"they've been out for like four months, but those were selling five thousand open sticker you know, so that ain't the car to get the deal on",datafolder/spk55_1.wav,5.895,happy,,,,,,,,,,,,,,,,,,,,
145,hee now they were like okay yeah do you have any white,datafolder/spk55_2.wav,2.405,happy,,,,,,,,,,,,,,,,,,,,
146,"wanted to tell you about ahaha, I saw this fight in target and I normally would not talk about fight like I was that person",datafolder/spk56_1.wav,5.379,happy,,,,,,,,,,,,,,,,,,,,
147,behind him I could even see that there was another person there right,datafolder/spk56_2.wav,3.299,angry,,,,,,,,,,,,,,,,,,,,
148,he pushes her with the card and she says what are you doing right and he says well go,datafolder/spk56_3.wav,5.647,angry,,,,,,,,,,,,,,,,,,,,
149,"true haha if that is all true, you could at least just be a reasonable person you know",datafolder/spk56_4.wav,5.682,happy,,,,,,,,,,,,,,,,,,,,
150,"your new motion picture, tell us about it, tell us a little bit about it don't tell us the whole thing just a little bit about it",datafolder/spk57_1.wav,4.737,happy,,,,,,,,,,,,,,,,,,,,
151,"aha ha ha ha ha ha ha what does that mean, well we gotta go",datafolder/spk57_2.wav,4.376,happy,,,,,,,,,,,,,,,,,,,,
152,"but understand what the difference between informal and impolite is and I won't tolerate impolite, if I hear one more, get up and walk out, yawn outside, stay out of class, whatever it is you need to do to get over it",datafolder/spk58_1.wav,14.235,angry,,,,,,,,,,,,,,,,,,,,
153,I didn't do anything I sat down on my seat but I get kicked off,datafolder/spk59_1.wav,3.489,angry,,,,,,,,,,,,,,,,,,,,
154,when we were shooting this film I was in London and and and so many things have changed since I've lived there and I didn't recognize and I saw a prison I was like this is my neighbourhood,datafolder/spk60_1.wav,7.938,happy,,,,,,,,,,,,,,,,,,,,
155,so they were asking all the great chefs like Paul Prudhomme and and Emeril and stuff like can you cook up the nutria,datafolder/spk60_2.wav,5.167,happy,,,,,,,,,,,,,,,,,,,,
156,"I think that every night the week, anyway don't worry we're out of time, do you",datafolder/spk61_1.wav,3.3,happy,,,,,,,,,,,,,,,,,,,,
157,on twitter you can't follow at TNA to follow the wrestling company you gotta follow Impact Wrestling how stupid is this,datafolder/spk62_1.wav,6.579,angry,,,,,,,,,,,,,,,,,,,,
158,is named after your weekly show on prime time not the name of the game company,datafolder/spk62_2.wav,5.546,angry,,,,,,,,,,,,,,,,,,,,
159,"they resigned the same guys more time to be here how stupid is that, you're world champion because again the destination america told you they wanted is the champion",datafolder/spk62_3.wav,6.653,angry,,,,,,,,,,,,,,,,,,,,
160,"and you in anyway shape or form, think that it's a good idea to interact on twitter with people in this capacity whatsoever, doesn't this seem like an incredibly stupid waste of freaking time",datafolder/spk62_4.wav,9.632,angry,,,,,,,,,,,,,,,,,,,,
161,"the only change that ever happens, is when people stand out",datafolder/spk63_1.wav,2.962,sad,,,,,,,,,,,,,,,,,,,,
162,"if you are going to be in here you are going to apologize to everybody person in this room and do it now, no you are not gonna say I'm sorry you are going to apologize for what you just did",datafolder/spk64_1.wav,9.059,angry,,,,,,,,,,,,,,,,,,,,
163,"this is the hard part this is your top two things, pray for and with each other, everyday our kids are having a coffee with their mama",datafolder/spk65_1.wav,7.377,sad,,,,,,,,,,,,,,,,,,,,
164,"I remember being a little girl and praying to god asking him to let me have a love like my parents have, and now I stand here today and knowing that I am worthy of this kind of love",datafolder/spk66_1.wav,9.756,sad,,,,,,,,,,,,,,,,,,,,
165,how grateful I am that you got to know my hero and my best friend,datafolder/spk66_2.wav,3.695,sad,,,,,,,,,,,,,,,,,,,,
166,"my mom has always been so proud of the man that you are, and I know that she is looking down at you right now, standing before me, smiling more than ever",datafolder/spk66_3.wav,7.355,sad,,,,,,,,,,,,,,,,,,,,
167,lounging in tenth position when he came in to to winning the champion's league in half a season,datafolder/spk67_1.wav,5.053,happy,,,,,,,,,,,,,,,,,,,,
168,might not even be eating during the game like we couldn't really eat,datafolder/spk67_2.wav,3.38,happy,,,,,,,,,,,,,,,,,,,,
169,you've done it again and I I've seen so much emotion coming from james today,datafolder/spk67_3.wav,3.522,happy,,,,,,,,,,,,,,,,,,,,
170,"it's just truly unbelievable, it just",datafolder/spk68_1.wav,2.63,angry,,,,,,,,,,,,,,,,,,,,
171,"and she had such an impact on me but when she moved, it made me really realize how much of an impact she had on my life",datafolder/spk69_1.wav,7.361,sad,,,,,,,,,,,,,,,,,,,,
172,"this past year has been really difficult, like getting used to my new life without my family and I kind of felt as if I lost my way with the lord",datafolder/spk69_2.wav,8.691,sad,,,,,,,,,,,,,,,,,,,,
173,Chelsie was here every step of my side and she helped me grow at the lord again and made me a better person so thank you so much for being the best sister I could ever ask for,datafolder/spk69_3.wav,10.775,sad,,,,,,,,,,,,,,,,,,,,
174,maybe you wanna redo that intro again,datafolder/spk70_1.wav,2.153,happy,,,,,,,,,,,,,,,,,,,,
175,just end the video right now,datafolder/spk70_2.wav,1.067,happy,,,,,,,,,,,,,,,,,,,,
176,"because I, I got into one of them, ok so I have Columbia open",datafolder/spk71_1.wav,4.467,happy,,,,,,,,,,,,,,,,,,,,
177,"and have fun together, and learn an adventure and so as far as travel goes we are travelling this weekend we've got a lot of travel coming up which is so exciting",datafolder/spk72_1.wav,9.878,happy,,,,,,,,,,,,,,,,,,,,
178,"so she got an admission email just now, congratulations Kate yes",datafolder/spk72_2.wav,4.848,happy,,,,,,,,,,,,,,,,,,,,
179,it is my pleasure to officially welcome you to the University of Kentucky,datafolder/spk73_1.wav,4.222,happy,,,,,,,,,,,,,,,,,,,,
180,but the only way I know how to describe is like comparing it like,datafolder/spk73_2.wav,3.705,happy,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
