Clip Number,Clip Name,Response Level,Displayed Emotion,,,,,,,,,
6105,1075_ITH_ANG_XX,80,A,,,,,,,,,
7101,1087_ITS_FEA_XX,42,F,,,,,,,,,
3117,1039_TIE_ANG_XX,76,A,,,,,,,,,
5109,1063_MTI_ANG_XX,33,A,,,,,,,,,
3864,1048_IWW_NEU_XX,16,N,,,,,,,,,
4362,1054_TAI_NEU_XX,87,N,,,,,,,,,
876,1011_ITS_FEA_XX,48,F,,,,,,,,,
5607,1069_IWL_ANG_XX,41,A,,,,,,,,,
627,1008_ITH_HAP_XX,70,H,,,,,,,,,
2370,1030_IEO_FEA_LO,59,F,,,,,,,,,
4611,1057_TAI_ANG_XX,11,A,,,,,,,,,
5856,1072_ITH_NEU_XX,76,N,,,,,,,,,
4113,1051_IWW_ANG_XX,82,A,,,,,,,,,
3615,1045_IOM_ANG_XX,47,A,,,,,,,,,
6852,1084_ITS_HAP_XX,79,H,,,,,,,,,
5358,1066_IWL_NEU_XX,90,N,,,,,,,,,
1872,1024_IEO_SAD_LO,86,S,,,,,,,,,
1374,1017_TSI_FEA_XX,36,F,,,,,,,,,
2619,1033_IEO_DIS_LO,64,D,,,,,,,,,
378,1005_IWL_FEA_XX,60,F,,,,,,,,,
3366,1042_IOM_NEU_XX,78,N,,,,,,,,,
2868,1036_TIE_NEU_XX,73,N,,,,,,,,,
6354,1078_DFA_HAP_XX,86,H,,,,,,,,,
2121,1027_IEO_ANG_LO,75,A,,,,,,,,,
157,1002_TSI_DIS_XX,56,D,,,,,,,,,
6624,1082_IEO_HAP_LO,100,H,,,,,,,,,
1921,1024_ITH_HAP_XX,80,H,,,,,,,,,
2640,1033_TAI_NEU_XX,89,N,,,,,,,,,
3636,1045_IWL_NEU_XX,97,N,,,,,,,,,
4383,1054_ITH_ANG_XX,15,A,,,,,,,,,
4881,1060_DFA_ANG_XX,15,A,,,,,,,,,
1423,1018_MTI_HAP_XX,18,H,,,,,,,,,
6126,1075_WSI_NEU_XX,13,N,,,,,,,,,
5130,1063_ITS_NEU_XX,95,N,,,,,,,,,
7371,1091_IEO_FEA_LO,43,F,,,,,,,,,
4632,1057_DFA_NEU_XX,65,N,,,,,,,,,
6375,1078_WSI_FEA_XX,53,F,,,,,,,,,
178,1003_IEO_DIS_MD,67,D,,,,,,,,,
3387,1042_MTI_ANG_XX,67,A,,,,,,,,,
2391,1030_IWW_ANG_XX,31,A,,,,,,,,,
4134,1051_ITH_NEU_XX,91,N,,,,,,,,,
5379,1066_ITS_ANG_XX,14,A,,,,,,,,,
5628,1069_TSI_NEU_XX,5,N,,,,,,,,,
925,1012_TAI_HAP_XX,67,H,,,,,,,,,
6873,1085_IEO_SAD_LO,91,S,,,,,,,,,
427,1006_TIE_HAP_XX,4,H,,,,,,,,,
3138,1039_MTI_NEU_XX,53,N,,,,,,,,,
676,1009_IOM_FEA_XX,17,F,,,,,,,,,
7122,1088_IEO_ANG_LO,9,A,,,,,,,,,
5877,1072_TSI_ANG_XX,51,A,,,,,,,,,
1672,1021_IWL_FEA_XX,58,F,,,,,,,,,
2889,1036_TAI_ANG_XX,81,A,,,,,,,,,
1174,1015_TAI_FEA_XX,34,F,,,,,,,,,
2142,1027_IWW_NEU_XX,15,N,,,,,,,,,
3885,1048_IWL_ANG_XX,27,A,,,,,,,,,
3913,1048_WSI_HAP_XX,33,H,,,,,,,,,
6901,1085_IWW_FEA_XX,34,F,,,,,,,,,
5407,1067_IEO_DIS_LO,19,D,,,,,,,,,
5656,1070_TIE_NEU_XX,61,N,,,,,,,,,
1949,1024_WSI_DIS_XX,56,D,,,,,,,,,
6154,1076_IOM_NEU_XX,55,N,,,,,,,,,
6652,1082_IWW_HAP_XX,59,H,,,,,,,,,
4411,1055_IEO_HAP_LO,54,H,,,,,,,,,
4909,1061_IEO_ANG_LO,24,A,,,,,,,,,
2668,1033_DFA_FEA_XX,35,F,,,,,,,,,
5158,1064_IEO_FEA_LO,40,F,,,,,,,,,
1451,1018_ITS_DIS_XX,30,D,,,,,,,,,
7150,1088_TAI_HAP_XX,24,H,,,,,,,,,
4162,1051_WSI_FEA_XX,37,F,,,,,,,,,
3415,1042_TSI_HAP_XX,49,H,,,,,,,,,
206,1003_MTI_SAD_XX,27,S,,,,,,,,,
5905,1073_TIE_ANG_XX,12,A,,,,,,,,,
2419,1030_DFA_HAP_XX,28,H,,,,,,,,,
3664,1045_TSI_FEA_XX,49,F,,,,,,,,,
1202,1015_ITS_SAD_XX,20,S,,,,,,,,,
1700,1021_WSI_SAD_XX,72,S,,,,,,,,,
2170,1027_ITH_FEA_XX,29,F,,,,,,,,,
7399,1091_TAI_FEA_XX,33,F,,,,,,,,,
953,1012_DFA_DIS_XX,43,D,,,,,,,,,
3166,1039_ITS_FEA_XX,42,F,,,,,,,,,
6403,1079_IOM_FEA_XX,25,F,,,,,,,,,
704,1009_DFA_SAD_XX,23,S,,,,,,,,,
2917,1036_ITS_HAP_XX,53,H,,,,,,,,,
4660,1058_IEO_SAD_LO,40,S,,,,,,,,,
455,1006_MTI_DIS_XX,50,D,,,,,,,,,
2198,1028_IEO_HAP_MD,63,H,,,,,,,,,
4937,1061_TAI_HAP_XX,63,H,,,,,,,,,
4688,1058_IWW_FEA_XX,47,F,,,,,,,,,
2696,1034_IEO_ANG_MD,34,A,,,,,,,,,
981,1013_IEO_ANG_HI,60,A,,,,,,,,,
2447,1031_IEO_SAD_MD,70,S,,,,,,,,,
4190,1052_IOM_FEA_XX,22,F,,,,,,,,,
5186,1064_TAI_FEA_XX,40,F,,,,,,,,,
7427,1091_ITS_SAD_XX,74,S,,,,,,,,,
6182,1076_IWL_FEA_XX,18,F,,,,,,,,,
2945,1037_IEO_FEA_MD,21,F,,,,,,,,,
6929,1085_DFA_SAD_XX,69,S,,,,,,,,,
6431,1079_ITH_SAD_XX,11,S,,,,,,,,,
1728,1022_IOM_SAD_XX,75,S,,,,,,,,,
483,1006_TSI_ANG_XX,28,A,,,,,,,,,
6680,1082_ITH_DIS_XX,53,D,,,,,,,,,
3692,1046_TIE_FEA_XX,7,F,,,,,,,,,
5684,1070_MTI_FEA_XX,84,F,,,,,,,,,
3194,1040_IEO_DIS_MD,24,D,,,,,,,,,
7178,1088_DFA_DIS_XX,11,D,,,,,,,,,
732,1010_IEO_SAD_HI,31,S,,,,,,,,,
234,1003_TSI_NEU_XX,17,N,,,,,,,,,
5435,1067_MTI_HAP_XX,7,H,,,,,,,,,
4439,1055_IWW_HAP_XX,15,H,,,,,,,,,
1230,1016_IEO_FEA_HI,33,F,,,,,,,,,
1479,1019_IEO_DIS_HI,26,D,,,,,,,,,
3941,1049_IOM_HAP_XX,16,H,,,,,,,,,
1977,1025_IOM_DIS_XX,33,D,,,,,,,,,
3443,1043_TIE_HAP_XX,16,H,,,,,,,,,
5933,1073_IWL_HAP_XX,26,H,,,,,,,,,
265,1004_TIE_ANG_XX,67,A,,,,,,,,,
5715,1070_TSI_DIS_XX,27,D,,,,,,,,,
6711,1083_IEO_SAD_HI,7,S,,,,,,,,,
1731,1022_IOM_DIS_XX,14,D,,,,,,,,,
2976,1037_MTI_SAD_XX,61,S,,,,,,,,,
16,1001_IEO_DIS_HI,18,D,,,,,,,,,
2727,1034_TAI_DIS_XX,8,D,,,,,,,,,
4470,1055_DFA_SAD_XX,12,S,,,,,,,,,
5964,1073_WSI_SAD_XX,45,S,,,,,,,,,
2229,1028_IWW_DIS_XX,8,D,,,,,,,,,
6960,1086_IEO_ANG_HI,72,A,,,,,,,,,
4719,1058_DFA_DIS_XX,14,D,,,,,,,,,
1482,1019_TIE_SAD_XX,32,S,,,,,,,,,
3225,1040_MTI_DIS_XX,23,D,,,,,,,,,
1261,1016_MTI_ANG_XX,38,A,,,,,,,,,
6213,1077_IEO_NEU_XX,100,N,,,,,,,,,
6462,1080_IEO_HAP_HI,15,H,,,,,,,,,
1012,1013_MTI_NEU_XX,27,N,,,,,,,,,
1980,1025_IWW_SAD_XX,9,S,,,,,,,,,
5217,1064_ITS_DIS_XX,91,D,,,,,,,,,
5466,1067_TSI_SAD_XX,46,S,,,,,,,,,
763,1010_TAI_ANG_XX,22,A,,,,,,,,,
7209,1089_IEO_FEA_HI,47,F,,,,,,,,,
3972,1049_ITH_SAD_XX,48,S,,,,,,,,,
514,1007_IOM_NEU_XX,7,N,,,,,,,,,
4968,1061_ITS_SAD_XX,5,S,,,,,,,,,
3474,1043_IWL_SAD_XX,10,S,,,,,,,,,
4221,1052_ITH_DIS_XX,13,D,,,,,,,,,
3723,1046_IWL_DIS_XX,7,D,,,,,,,,,
2478,1031_TAI_SAD_XX,8,S,,,,,,,,,
1040,1013_ITS_FEA_XX,51,F,,,,,,,,,
4249,1053_IEO_HAP_HI,67,H,,,,,,,,,
6739,1083_TAI_NEU_XX,37,N,,,,,,,,,
4498,1056_IEO_SAD_HI,50,S,,,,,,,,,
293,1004_IWL_HAP_XX,41,H,,,,,,,,,
44,1001_MTI_ANG_XX,23,A,,,,,,,,,
3253,1040_TSI_ANG_XX,37,A,,,,,,,,,
2506,1031_ITS_NEU_XX,38,N,,,,,,,,,
1510,1019_IWL_NEU_XX,80,N,,,,,,,,,
4747,1059_IEO_ANG_HI,71,A,,,,,,,,,
1289,1016_TSI_HAP_XX,49,H,,,,,,,,,
3502,1043_WSI_NEU_XX,26,N,,,,,,,,,
2257,1028_DFA_ANG_XX,68,A,,,,,,,,,
1759,1022_ITH_ANG_XX,62,A,,,,,,,,,
5743,1071_TIE_DIS_XX,30,D,,,,,,,,,
5494,1068_TIE_SAD_XX,43,S,,,,,,,,,
2755,1034_ITS_ANG_XX,36,A,,,,,,,,,
6241,1077_IWW_NEU_XX,13,N,,,,,,,,,
542,1007_IWL_FEA_XX,40,F,,,,,,,,,
5992,1074_IOM_SAD_XX,23,S,,,,,,,,,
4996,1062_IEO_FEA_HI,62,F,,,,,,,,,
4000,1050_IEO_NEU_XX,59,N,,,,,,,,,
2008,1025_DFA_NEU_XX,10,N,,,,,,,,,
791,1010_ITS_HAP_XX,44,H,,,,,,,,,
3004,1037_TSI_NEU_XX,30,N,,,,,,,,,
6988,1086_TAI_ANG_XX,63,A,,,,,,,,,
3751,1046_WSI_ANG_XX,55,A,,,,,,,,,
7237,1089_MTI_NEU_XX,15,N,,,,,,,,,
5245,1065_IEO_DIS_HI,59,D,,,,,,,,,
6490,1080_IWW_ANG_XX,40,A,,,,,,,,,
5522,1068_IWL_NEU_XX,99,N,,,,,,,,,
1538,1019_WSI_FEA_XX,61,F,,,,,,,,,
7265,1089_ITS_FEA_XX,61,F,,,,,,,,,
5024,1062_MTI_NEU_XX,37,N,,,,,,,,,
6518,1080_DFA_HAP_XX,44,H,,,,,,,,,
819,1011_IEO_FEA_MD,61,F,,,,,,,,,
3530,1044_IOM_NEU_XX,61,N,,,,,,,,,
6269,1077_ITH_FEA_XX,56,F,,,,,,,,,
2783,1035_IEO_DIS_LO,57,D,,,,,,,,,
2285,1029_IEO_ANG_LO,41,A,,,,,,,,,
321,1004_TSI_DIS_XX,47,D,,,,,,,,,
2036,1026_IEO_SAD_LO,24,S,,,,,,,,,
3779,1047_IOM_ANG_XX,54,A,,,,,,,,,
570,1007_WSI_SAD_XX,54,S,,,,,,,,,
72,1001_TSI_HAP_XX,68,H,,,,,,,,,
2534,1032_IEO_FEA_LO,41,F,,,,,,,,,
4028,1050_IWW_NEU_XX,21,N,,,,,,,,,
1787,1023_IEO_HAP_LO,8,H,,,,,,,,,
1317,1017_TIE_HAP_XX,33,H,,,,,,,,,
5771,1071_IWL_ANG_XX,51,A,,,,,,,,,
3281,1041_TIE_ANG_XX,58,A,,,,,,,,,
6767,1083_DFA_FEA_XX,36,F,,,,,,,,,
4775,1059_TAI_ANG_XX,76,A,,,,,,,,,
1068,1014_IEO_DIS_MD,36,D,,,,,,,,,
7016,1086_ITS_HAP_XX,20,H,,,,,,,,,
5273,1065_MTI_ANG_XX,74,A,,,,,,,,,
3032,1038_TIE_NEU_XX,36,N,,,,,,,,,
4277,1053_IWW_ANG_XX,51,A,,,,,,,,,
6020,1074_ITH_NEU_XX,64,N,,,,,,,,,
4526,1056_TAI_NEU_XX,29,N,,,,,,,,,
2177,1027_DFA_DIS_XX,61,D,,,,,,,,,
5165,1064_TIE_HAP_XX,77,H,,,,,,,,,
2426,1030_ITS_SAD_XX,30,S,,,,,,,,,
5414,1067_TIE_FEA_XX,16,F,,,,,,,,,
213,1003_IWL_ANG_XX,34,A,,,,,,,,,
5663,1070_IOM_HAP_XX,20,H,,,,,,,,,
462,1006_ITH_NEU_XX,56,N,,,,,,,,,
7406,1091_MTI_DIS_XX,45,D,,,,,,,,,
3422,1042_WSI_SAD_XX,22,S,,,,,,,,,
3920,1049_IEO_HAP_MD,63,H,,,,,,,,,
4418,1055_IEO_ANG_MD,27,A,,,,,,,,,
6161,1076_IWW_HAP_XX,29,H,,,,,,,,,
4667,1058_IEO_FEA_MD,30,F,,,,,,,,,
1430,1018_IWL_SAD_XX,48,S,,,,,,,,,
3671,1045_WSI_DIS_XX,41,D,,,,,,,,,
7157,1088_MTI_SAD_XX,25,S,,,,,,,,,
3173,1039_TSI_DIS_XX,48,D,,,,,,,,,
1928,1024_DFA_SAD_XX,56,S,,,,,,,,,
4169,1052_IEO_SAD_MD,39,S,,,,,,,,,
6908,1085_TAI_DIS_XX,25,D,,,,,,,,,
6659,1082_TAI_SAD_XX,57,S,,,,,,,,,
1181,1015_MTI_DIS_XX,50,D,,,,,,,,,
2924,1036_TSI_SAD_XX,35,S,,,,,,,,,
711,1009_ITS_ANG_XX,61,A,,,,,,,,,
5912,1073_IOM_FEA_XX,44,F,,,,,,,,,
2675,1033_ITS_DIS_XX,49,D,,,,,,,,,
4916,1061_IEO_DIS_MD,49,D,,,,,,,,,
960,1012_TSI_NEU_XX,42,N,,,,,,,,,
6410,1079_IWW_DIS_XX,16,D,,,,,,,,,
1679,1021_ITH_DIS_XX,13,D,,,,,,,,,
3450,1043_IOM_SAD_XX,78,S,,,,,,,,,
241,1003_WSI_HAP_XX,61,H,,,,,,,,,
1458,1018_WSI_NEU_XX,28,N,,,,,,,,,
490,1006_WSI_FEA_XX,64,F,,,,,,,,,
2205,1028_IEO_ANG_HI,99,A,,,,,,,,,
4944,1061_MTI_SAD_XX,59,S,,,,,,,,,
5193,1064_MTI_DIS_XX,64,D,,,,,,,,,
6189,1076_ITH_DIS_XX,55,D,,,,,,,,,
4197,1052_IWW_DIS_XX,58,D,,,,,,,,,
5691,1070_IWL_DIS_XX,34,D,,,,,,,,,
3699,1046_IOM_DIS_XX,55,D,,,,,,,,,
2952,1037_TIE_SAD_XX,35,S,,,,,,,,,
3201,1040_TIE_DIS_XX,60,D,,,,,,,,,
3948,1049_IWW_SAD_XX,10,S,,,,,,,,,
6936,1085_ITS_ANG_XX,34,A,,,,,,,,,
1209,1015_TSI_ANG_XX,80,A,,,,,,,,,
4446,1055_TAI_SAD_XX,68,S,,,,,,,,,
739,1010_IEO_DIS_LO,41,D,,,,,,,,,
4695,1058_TAI_DIS_XX,94,D,,,,,,,,,
6687,1082_ITS_NEU_XX,60,N,,,,,,,,,
1956,1025_IEO_SAD_HI,44,S,,,,,,,,,
988,1013_TIE_NEU_XX,63,N,,,,,,,,,
5442,1067_IWL_SAD_XX,54,S,,,,,,,,,
7185,1088_TSI_NEU_XX,62,N,,,,,,,,,
2454,1031_IEO_FEA_HI,55,F,,,,,,,,,
2703,1034_IEO_DIS_HI,54,D,,,,,,,,,
1707,1022_IEO_HAP_HI,64,H,,,,,,,,,
5940,1073_ITH_SAD_XX,54,S,,,,,,,,,
6438,1079_DFA_ANG_XX,37,A,,,,,,,,,
7434,1091_TSI_ANG_XX,55,A,,,,,,,,,
1486,1019_IOM_NEU_XX,79,N,,,,,,,,,
518,1007_IOM_FEA_XX,67,F,,,,,,,,,
269,1004_IOM_HAP_XX,59,H,,,,,,,,,
4723,1058_ITS_ANG_XX,58,A,,,,,,,,,
3727,1046_ITH_ANG_XX,68,A,,,,,,,,,
4225,1052_DFA_ANG_XX,96,A,,,,,,,,,
5968,1074_IEO_NEU_XX,63,N,,,,,,,,,
4972,1061_TSI_NEU_XX,68,N,,,,,,,,,
4474,1055_ITS_NEU_XX,74,N,,,,,,,,,
1016,1013_MTI_FEA_XX,17,F,,,,,,,,,
5470,1067_WSI_NEU_XX,71,N,,,,,,,,,
6964,1086_IEO_DIS_LO,29,D,,,,,,,,,
1735,1022_IWW_ANG_XX,55,A,,,,,,,,,
2482,1031_MTI_NEU_XX,68,N,,,,,,,,,
1237,1016_TIE_ANG_XX,32,A,,,,,,,,,
3976,1049_DFA_NEU_XX,60,N,,,,,,,,,
6466,1080_IEO_ANG_LO,83,A,,,,,,,,,
20,1001_TIE_ANG_XX,39,A,,,,,,,,,
5719,1070_WSI_ANG_XX,86,A,,,,,,,,,
6715,1083_IEO_FEA_LO,63,F,,,,,,,,,
767,1010_MTI_HAP_XX,55,H,,,,,,,,,
5221,1064_TSI_ANG_XX,85,A,,,,,,,,,
7213,1089_TIE_NEU_XX,76,N,,,,,,,,,
1984,1025_TAI_NEU_XX,78,N,,,,,,,,,
3229,1040_IWL_ANG_XX,98,A,,,,,,,,,
6217,1077_IEO_SAD_LO,86,S,,,,,,,,,
2233,1028_TAI_ANG_XX,89,A,,,,,,,,,
3478,1043_ITH_NEU_XX,79,N,,,,,,,,,
2980,1037_IWL_NEU_XX,61,N,,,,,,,,,
2731,1034_MTI_ANG_XX,57,A,,,,,,,,,
1429,1018_IWL_HAP_XX,48,H,,,,,,,,,
1678,1021_ITH_FEA_XX,40,F,,,,,,,,,
3670,1045_WSI_FEA_XX,53,F,,,,,,,,,
4666,1058_IEO_FEA_LO,30,F,,,,,,,,,
3172,1039_TSI_FEA_XX,47,F,,,,,,,,,
3919,1049_IEO_HAP_LO,35,H,,,,,,,,,
6658,1082_TAI_HAP_XX,76,H,,,,,,,,,
1927,1024_DFA_HAP_XX,74,H,,,,,,,,,
5662,1070_IOM_NEU_XX,91,N,,,,,,,,,
2674,1033_ITS_FEA_XX,81,F,,,,,,,,,
2923,1036_TSI_HAP_XX,76,H,,,,,,,,,
5413,1067_TIE_ANG_XX,58,A,,,,,,,,,
4417,1055_IEO_ANG_LO,69,A,,,,,,,,,
682,1009_IWW_FEA_XX,84,F,,,,,,,,,
184,1003_TIE_FEA_XX,79,F,,,,,,,,,
931,1012_MTI_HAP_XX,42,H,,,,,,,,,
